iter	Passed	Remaining
758	30639	9728
759	30716	9700
760	30817	9678
761	30883	9646
762	30915	9602
763	30950	9560
764	30976	9515
765	31004	9471
766	31043	9430
767	31120	9400
768	31167	9362
769	31203	9320
770	31248	9281
771	31298	9243
772	31404	9222
773	31439	9179
774	31480	9139
775	31513	9096
776	31544	9053
777	31575	9009
778	31604	8966
779	31687	8937
780	31738	8899
781	31780	8859
782	31836	8823
783	31878	8782
784	31920	8742
785	32033	8721
786	32073	8680
787	32100	8636
788	32145	8596
789	32175	8552
790	32203	8508
791	32225	8463
792	32249	8418
793	32282	8375
794	32359	8344
795	32400	8303
796	32441	8263
797	32470	8219
798	32493	8174
799	32518	8129
800	32543	8085
801	32567	8040
802	32601	7998
803	32667	7963
804	32699	7920
805	32731	7878
806	32753	7833
807	32782	7789
808	32816	7747
809	32843	7704
810	32867	7659
811	32890	7615
812	32985	7587
813	33009	7542
814	33047	7501
815	33078	7458
816	33108	7415
817	33148	7375
818	33242	7346
819	33306	7311
820	33362	7273
821	33394	7231
822	33434	7190
823	33493	7153
824	33623	7132
825	33684	7095
826	33720	7053
827	33766	7014
828	33806	6973
829	33856	6934
830	33907	6895
831	34026	6870
832	34118	6840
833	34186	6804
834	34230	6764
835	34312	6731
836	34411	6701
837	34454	6660
838	34488	6618
839	34526	6576
840	34631	6547
841	34658	6503
842	34703	6463
843	34733	6420
844	34771	6378
845	34801	6335
846	34829	6291
847	34853	6247
848	34878	6203
849	34901	6159
850	34938	6117
851	35043	6087
852	35074	6044
853	35101	6000
854	35144	5960
855	35176	5917
856	35203	5874
857	35227	5830
858	35255	5786
859	35284	5744
860	35335	5704
861	35399	5667
862	35439	5625
863	35479	5584
864	35516	5543
865	35553	5501
866	35610	5462
867	35665	5423
868	35690	5380
869	35739	5340
870	35864	5311
871	35915	5271
872	35943	5228
873	35981	5187
874	36012	5144
875	36037	5101
876	36062	5057
877	36088	5014
878	36116	4971
879	36148	4929
880	36177	4886
881	36265	4851
882	36289	4808
883	36326	4766
884	36350	4723
885	36376	4680
886	36401	4637
887	36430	4594
888	36468	4553
889	36526	4514
890	36586	4475
891	36625	4434
892	36673	4394
893	36719	4353
894	36764	4313
895	36799	4271
896	36860	4232
897	36898	4191
898	36998	4156
899	37035	4115
900	37081	4074
901	37114	4032
902	37149	3990
903	37183	3948
904	37221	3907
905	37256	3865
906	37286	3823
907	37316	3781
908	37348	3738
909	37379	3696
910	37410	3654
911	37491	3617
912	37541	3577
913	37586	3536
914	37622	3494
915	37655	3453
916	37686	3411
917	37726	3369
918	37827	3334
919	37890	3294
920	37929	3253
921	38108	3223
922	38141	3181
923	38194	3141
924	38233	3100
925	38273	3058
926	38312	3017
927	38344	2974
928	38433	2937
929	38465	2895
930	38508	2853
931	38539	2811
932	38573	2770
933	38603	2727
934	38635	2685
935	38742	2649
936	38776	2607
937	38818	2565
938	38846	2523
939	38872	2481
940	38900	2439
941	38928	2396
942	38957	2354
943	39019	2314
944	39058	2273
945	39086	2231
946	39141	2190
947	39181	2149
948	39220	2107
949	39249	2065
950	39292	2024
951	39366	1984
952	39402	1943
953	39462	1902
954	39530	1862
955	39574	1821
956	39623	1780
957	39722	1741
958	39762	1699
959	39795	1658
960	39827	1616
961	39873	1575
962	39952	1535
963	40036	1495
964	40093	1454
965	40134	1412
966	40166	1370
967	40197	1328
968	40230	1287
969	40312	1246
970	40385	1206
971	40422	1164
972	40449	1122
973	40481	1080
974	40511	1038
975	40547	997
976	40622	956
977	40676	915
978	40714	873
979	40740	831
980	40770	789
981	40862	749
982	40886	707
983	40915	665
984	40941	623
985	40980	581
986	41012	540
987	41039	498
988	41068	456
989	41098	415
990	41162	373
991	41222	332
992	41251	290
993	41285	249
994	41313	207
995	41343	166
996	41373	124
997	41407	82
998	41448	41
999	41627	0
